"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 21 20:08:59 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Jun 21 20:08:47 GMT 2025","Sat Jun 21 20:08:49 GMT 2025","1665","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 20:08:49 GMT 2025","Sat Jun 21 20:08:51 GMT 2025","1350","LMS system","Authentification","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 21 20:08:53 GMT 2025","Sat Jun 21 20:08:54 GMT 2025","1442","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 21 20:08:59 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Jun 21 20:08:54 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","4161","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 21 20:08:51 GMT 2025","Sat Jun 21 20:08:52 GMT 2025","1639","LMS system","Authentification","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 21 20:08:54 GMT 2025","Sat Jun 21 20:08:56 GMT 2025","2344","LMS system","Courses","Courses","","","Create courses ",""
"passed","Sat Jun 21 20:08:57 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","1857","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 21 20:08:59 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Jun 21 20:08:49 GMT 2025","Sat Jun 21 20:08:50 GMT 2025","1467","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 20:08:59 GMT 2025","Sat Jun 21 20:08:59 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Jun 21 20:08:45 GMT 2025","Sat Jun 21 20:08:47 GMT 2025","1699","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 20:08:45 GMT 2025","Sat Jun 21 20:08:48 GMT 2025","3211","LMS system","Authentification","Authorization","","","User login with correct email and password",""
